impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-176669,A724758,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,4 WEEKS,Male,Domestic Longhair,Black / White,"Feb 28, 2025",Received on,3500 block of  S 188TH ST,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724758,Image Copyright HLP Inc. 2025,Received on: 2025-02-28<p/> Found Near: 3500 block of  S 188TH ST<p/> Description: Black / White Male Domestic Longhair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-176442,A724326,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724326,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Xander,Dog,2 YEARS,Neutered Male,Alaskan Husky,White,"Feb 19, 2025",Received on,25800 block of  LAKE FENWICK RD S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724326,Image Copyright HLP Inc. 2025,"Received on: 2025-02-19<p/> Found Near: 25800 block of  LAKE FENWICK RD S<p/> Description: White Neutered Male Alaskan Husky Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176126,A723828,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2904743,LOST,Yuki,Cat,Over 1 year<p/>,Male,American Shorthair,Black,"Feb 07, 2025",Date Lost,Union  St & Minor Ave,Seattle,,98101,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2904743,Image Copyright HLP Inc. 2025,"Description: Black tuxedo around 15lbs <p/>Age: Over 1 year<p/>Location Lost: Union St and Minor Ave, Seattle WA  98101<p/>Lost Date: 2025-02-07<p/>",
K25-176273,A724064,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2906693,LOST,Oreo,Dog,Over 1 year<p/>,Male,Yorkshire Terrier,Brown,"Feb 09, 2025",Date Lost,128TH  STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2906693,Image Copyright HLP Inc. 2025,"Description: Super small dog with black nose and brown eyes, don’t have a collar but just got a new haircut before he was Lost.<p/>Age: Over 1 year<p/>Location Lost: 128th Street , Renton WA  98059<p/>Lost Date: Feb  9 202<p/>",
K25-176655,A724731,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2911837,In Public Home,Sarah,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Feb 27, 2025",Date Found,300 block of  S St SE,Auburn,,98002,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2911837,Image Copyright HLP Inc. 2025,"Description: Tuxedo color - young un-altered male. Maybe 16months.   Has been spotted in the area for weeks.   Initially skittish but friendly once fed.<p/>Age: Over 1 year<p/>Found Near: 15th ave S. & Hanford, Seattle WA  98144<p/>Found Date: 2025-02-27<p/>",
K25-176496,A724430,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724430,"Northgate Petco 318 NE NORTHGATE WAY SEATTLE, WA 98125",Fabio,Cat,3 YEARS,Neutered Male,Domestic Longhair,Brn Tabby / White,"Feb 21, 2025",Received on,25600 block of  30TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724430,Image Copyright HLP Inc. 2025,"Received on: 2025-02-21<p/> Found Near: 25600 block of  30TH AVE S<p/> Description: Brn Tabby / White Neutered Male Domestic Longhair Cat<p/> Age: 3 YEARS<p/> Current Location: Northgate Petco 318 NE NORTHGATE WAY SEATTLE, WA 98125<p/>",
K25-175951,A723368,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2901760,LOST,Kaju,Dog,Over 1 year<p/>,Female,Bichon Frise,White,"Jan 28, 2025",Date Lost,98092 98092,,,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2901760,Image Copyright HLP Inc. 2025,"Description: Bichon terrier cross, about 15 lbs, feral.  <p/>Age: Over 1 year<p/>Location Lost: Auburn Black Diamond and 317th St, Auburn WA  98092<p/>Lost Date: 2025-01-28<p/>",
K25-176052,A723663,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2903392,LOST,Minko,Cat,Over 1 year<p/>,Male,Bombay,Black,"Jan 31, 2025",Date Lost,1400 block of  JEFFERSON AVE NE,RENTON,,98056,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2903392,Image Copyright HLP Inc. 2025,"Description: He is an all black cat, has some faint white spot on his chest but that is it. <p/>Age: Over 1 year<p/>Location Lost: 1422 Jefferson ave Renton , Renton WA  98056<p/>Lost Date: 2025-01-31<p/>",
K25-176654,A724720,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724720,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Franklin,Dog,NO AGE,Neutered Male,Pit Bull / Mix,Black / White,"Feb 27, 2025",Received on,5500 block of  S 226TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724720,Image Copyright HLP Inc. 2025,"Received on: 2025-02-27<p/> Found Near: 5500 block of  S 226TH ST<p/> Description: Black / White Neutered Male Pit Bull / Mix Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176427,A724306,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2908743,LOST,,Dog,Under 1 year<p/>,Male,Siberian Husky,Unknown,"Feb 18, 2025",Date Lost,32900 block of  ASH AVE SE,Black Diamond,,98010,BLACK DIAMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2908743,Image Copyright HLP Inc. 2025,"Description: Mixed husky (?) doesn’t look fluffy enough to be a husky so i’m unsure. Boy pup, ran inside our car at the round about, has trimmed nails and an indent where a collar used to be (had no collar when Found) so he clearly had owners somewhere! He is super loving and sweet.<p/>Age: Under 1 year<p/>Location Lost: 32943 Ash Ave SE, Black Diamond WA  98010<p/>Lost Date: 2025-02-18<p/>",
K25-176753,A724961,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724961,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Female,Domestic Shorthair,Brn Tabby,"Mar 04, 2025",Received on,4800 block of  S 272ND PL,KENT,WA,98032,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724961,Image Copyright HLP Inc. 2025,"Received on: 2025-03-04<p/> Found Near: 4800 block of  S 272ND PL<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176621,A724653,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2911293,LOST,Charming,Dog,Over 1 year<p/>,Male,Shih Tzu,White,"Feb 24, 2025",Date Lost,400 block of  37TH ST SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2911293,Image Copyright HLP Inc. 2025,"Description: white   brown spots<p/>Age: Over 1 year<p/>Location Lost: 401 37th st se  80, Auburn WA  98002<p/>Lost Date: 2025-02-24<p/>",
K25-176619,A724650,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724650,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Clipper,Cat,NO AGE,Male,Domestic Shorthair,White / Brn Tabby,"Feb 26, 2025",Received on,16000 block of  182ND AVE SE,RENTON,WA,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724650,Image Copyright HLP Inc. 2025,"Received on: 2025-02-26<p/> Found Near: 16000 block of  182ND AVE SE<p/> Description: White / Brn Tabby Male Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176323,A724120,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2907179,In Public Home,,Dog,Unknown<p/>,Male,Alaskan Husky,Unknown,"Feb 14, 2025",Date Found,3800 block of  S 307TH PL,,,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2907179,Image Copyright HLP Inc. 2025,<p/>Age: Unknown<p/>Found Near: 3800 block of  S 307TH PL<p/>Found Date: 2025-02-14<p/>,
K25-176169,A723886,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2905397,In Public Home,,Cat,Unknown<p/>,Unknown,Domestic Shorthair,Unknown,"Feb 06, 2025",Date Found,116TH  & 180TH - BENSON HILL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2905397,Image Copyright HLP Inc. 2025,"Description: Looks like a mackerel tabby cat, no collar, seems well taken care of, maybe an indoor cat that escaped? <p/>Age: Unknown<p/>Found Near: 116th & 180th - Benson Hill, Renton WA  98058<p/>Found Date: 2025-02-06<p/>",
K25-176631,A724672,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724672,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Andre,Dog,2 YEARS,Male,Alaskan Husky / German Shepherd,Cream / Black,"Feb 26, 2025",Received on,22300 block of  BENSON RD SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724672,Image Copyright HLP Inc. 2025,"Received on: 2025-02-26<p/> Found Near: 22300 block of  BENSON RD SE<p/> Description: Cream / Black Male Alaskan Husky / German Shepherd Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-175768,A723004,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2899116,In Public Home,,Dog,Unknown<p/>,Female,German Shepherd,Black / Tan,"Jan 21, 2025",Date Found,30900 block of  NE CARNATION FARM RD,CARNATION,WA,98014,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2899116,Image Copyright HLP Inc. 2025,"Description: I believe she's a German Shepard mix as she has various markings/colors of a GS but she has a very short coat and her tail is extremely long!  Almost like she has the tail of a Great Dane.  On the top of her head, in between her ears, it almost looks like she has a set of orange angel wings.  She looks to be younger as she hasn't quite grown into her paws yet and she also has what looks to be a fresh scar from being spayed.  It's healed and looks healthy, but there is part of her scar that is still purple in color.  We took her in to have her scanned and although she is chipped we can't seem to locate the chip number anywhere and it was never registered.  So far I've run the number through the following microchip companies... International Pet Registry, Nano Chip, Petstablished, Save This Life, Smart Tag and Arf ID (Peeva)... None of them have any record of her chip number.  We are more than happy to keep her safe and happy in our home until her family is Found.<p/>Age: Unknown<p/>Found Near: Chinook Bend Natural Area off of Carnation Farm Rd, Carnation WA  98014<p/>Found Date: 2025-01-21<p/>",
K25-176234,A724006,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2906290,In Public Home,,Cat,Under 1 year<p/>,Female,American Shorthair,Brown,"Feb 07, 2025",Date Found,S  216TH ST & 6 AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2906290,Image Copyright HLP Inc. 2025,"Description: Under a year old. Tabby with white. Female. No microchip.<p/>Age: Under 1 year<p/>Found Near: S 216th st & 6 Ave S , Seattle WA  98198<p/>Found Date: 2025-02-07<p/>",
K25-176752,A724960,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724960,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Female,Domestic Shorthair,Black / White,"Mar 04, 2025",Received on,4800 block of  S 272ND PL,KENT,WA,98032,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724960,Image Copyright HLP Inc. 2025,"Received on: 2025-03-04<p/> Found Near: 4800 block of  S 272ND PL<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176037,A723582,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2903089,LOST,Speedy,Cat,Under 1 year<p/>,Female,Domestic Longhair,Brown,"Jan 27, 2025",Date Lost,29TH  AVE SW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2903089,Image Copyright HLP Inc. 2025,"Description: Female, 8 months old, long hair, black and brown stripes along back, cream colored front left paw, fluffy tail <p/>Age: Under 1 year<p/>Location Lost: 29th ave sw, Seattle WA  98126<p/>Lost Date: 2025-01-27<p/>",
K25-176272,A724062,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2906675,LOST,Espur (on Re,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Feb 07, 2025",Date Lost,132nd  Ave SE & SE 240th St,Kent,,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2906675,Image Copyright HLP Inc. 2025,"Description: Bald patch on her but. Purple collar at the time she went missing <p/>Age: Over 1 year<p/>Location Lost: 132nd and 240th , Kent WA  98042<p/>Lost Date: 2025-02-07<p/>",
K25-176731,A724893,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Deceased Dog,NO AGE,Male,German Shepherd,Black,"Mar 03, 2025",Received on,38300 block of  HWY,,,,KING COUNTY,,,,Image Copyright HLP Inc. 2025,Received on: 2025-03-03<p/> Found Near: 38300 block of  HWY <p/> Description: Black Male German Shepherd Dog<p/> Age: NO AGE<p/>,
K25-176714,A724822,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2912678,LOST,Rex,Dog,Unknown<p/>,Male,Labrador Retriever,Black,"Mar 01, 2025",Date Lost,22300 block of  SE 368TH ST,,,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2912678,Image Copyright HLP Inc. 2025,"Description: Older Dog  Over 10 yrs,<p/>Age: Unknown<p/>Location Lost: 22315 SE 368th, Enumclaw WA  98022<p/>Lost Date: 2025-03-01<p/>",
K25-176653,A724718,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724718,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Penn,Dog,NO AGE,Neutered Male,Boxer / Pit Bull,Br Brindle / White,"Feb 27, 2025",Received on,5500 block of  S 226TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724718,Image Copyright HLP Inc. 2025,"Received on: 2025-02-27<p/> Found Near: 5500 block of  S 226TH ST<p/> Description: Br Brindle / White Neutered Male Boxer / Pit Bull Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176449,A724341,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A724341,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rojo,Dog,2 YEARS,Neutered Male,German Shepherd / Mix,Red,"Feb 19, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724341,Image Copyright HLP Inc. 2025,"Received on: 2025-02-19<p/> Description: Red<p/>  Neutered Male German Shepherd / Mix Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $30<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi there! My name is Rojo. I came to RASKC as a stray and now I'm looking for a new home. <p/><p/>I'm a shy boy who really needs time to warm up to new people. I'm not enthusiastic about new things so I'm looking for a family that understands I will need time. Nothing is known about my past but my behavior suggests I may not have had much socialization with people. I can be nervous in new situations and would be most likely to succeed in a calm, predictable home. The way to my heart is patience, kindness and understanding. I'm sure once I bond to a new family, I'll be a loyal companion. <p/><p/>I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/>",
K25-176706,A724807,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724807,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,3 YEARS,Female,German Shepherd,Black / Tan,"Mar 01, 2025",Received on,7000 block of  396TH DR SE,SNOQUALMIE,WA,98065,SNOQUALMIE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724807,Image Copyright HLP Inc. 2025,"Received on: 2025-03-01<p/> Found Near: 7000 block of  396TH DR SE<p/> Description: Black / Tan Female German Shepherd Dog<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-175878,A723209,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2900580,In Public Home,,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Jan 23, 2025",Date Found,33rd  Ave SW & SW 100th St,Seattle,,98146,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2900580,Image Copyright HLP Inc. 2025,"Description: Solid grey presumed male cat, likely not neutered. Seen on the 23rd limping with non-weightbearing left hind leg. Seen again on the 26th still limping but less badly. <p/>Age: Over 1 year<p/>Found Near: 33rd Ave SW and SW 100th, Seattle WA  98146<p/>Found Date: 2025-01-23<p/>",
K25-176177,A723896,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A723896,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rodriguez,Cat,8 YEARS,Neutered Male,Domestic Shorthair,Black / White,"Feb 09, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A723896,Image Copyright HLP Inc. 2025,"Received on: 2025-02-09<p/> Description: Black / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 8 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Rodriguez and I am available for adoption!<p/><p/>I am a chill dude who came from a small hording situation, so I am not used to being the center of attention. A quiet home with lots of love, patience, and maybe another cat will help me warm up.<p/><p/>Once I give you a slow-blink, that's your que to give me pets!<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",
K25-175885,A723245,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2900773,LOST,Leo,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,"Jan 24, 2025",Date Lost,272nd  Ave SE & SE 271st St,King County,,98051,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2900773,Image Copyright HLP Inc. 2025,"Description: Gray, Brown, Black fur , black stripes, Green eyes, Long stripe on the end of his tail<p/>Age: Over 1 year<p/>Location Lost: 272nd and 271st, Maple Valley WA  98038<p/>Lost Date: 2025-01-24<p/>",
K25-176673,A724762,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,4 WEEKS,Female,Domestic Shorthair,Torbie / White,"Feb 28, 2025",Received on,3500 block of  S 188TH ST,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724762,Image Copyright HLP Inc. 2025,Received on: 2025-02-28<p/> Found Near: 3500 block of  S 188TH ST<p/> Description: Torbie / White Female Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-176011,A723513,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2902544,LOST,Coffee,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,White,"Jan 30, 2025",Date Lost,SE  186th Pl & 129th Pl SE,King County,,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2902544,Image Copyright HLP Inc. 2025,"Description: He has a white body, with a gray back and tail. He has a white triangle on his forehead. His paw pads are pink. He is neutered. He has a microchip.<p/>Age: Over 1 year<p/>Location Lost: 186th place SE and 129th place SE, Renton WA  98058<p/>Lost Date: 2025-01-30<p/>",
K25-176690,A724779,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A724779,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Gretta,Dog,4 YEARS,Spayed Female,Norwegian Elkhound,Gray / Black,"Feb 28, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724779,Image Copyright HLP Inc. 2025,"Received on: 2025-02-28<p/> Description: Gray / Black<p/>  Spayed Female Norwegian Elkhound Dog<p/> Age: 4 YEARS<p/> Adoption Fee: $30<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K25-175761,A722991,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2899018,In Public Home,Boy,Dog,Over 1 year<p/>,Male,German Shepherd,Black,"Jan 21, 2025",Date Found,56th  Ave S & S Hazel St,Seattle,,98178,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2899018,Image Copyright HLP Inc. 2025,"Description: This is a male dog, long hair, big curly fluffy tail, and a green color collar.  Breed may be german shepard/husky.  He likes begin outside, very smart, has not been fixed.  <p/>Age: Over 1 year<p/>Found Near: 56th  Ave S & S Hazel St<p/>Found Date: 2025-01-21<p/>",
K25-176757,A724978,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2913663,LOST,Beebee,Cat,Over 1 year<p/>,Female,Domestic Mediumhair,Unknown,"Mar 01, 2025",Date Lost,98055 98055,,,98055,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2913663,Image Copyright HLP Inc. 2025,"Description: Gray and white medium hair female cat<p/>Age: Over 1 year<p/>Location Lost: 190th Pl Se and 187th ave Se, Kent WA  98042<p/>Lost Date: 2025-03-01<p/>",
K25-176564,A724563,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Ursa,Dog,4 YEARS 6 MONTHS,Spayed Female,German Shepherd,Sable,"Feb 24, 2025",Received on,11300 block of  207TH AVE SE,ISSAQUAH,WA,98027,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724563,Image Copyright HLP Inc. 2025,Received on: 2025-02-24<p/> Found Near: 11300 block of  207TH AVE SE<p/> Description: Sable Spayed Female German Shepherd Dog<p/> Age: 4 YEARS 6 MONTHS<p/> Current Location: In RASKC Foster Home <p/>,
K25-176442,A724326,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A724326,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Xander,Dog,2 YEARS,Neutered Male,Alaskan Husky,White,"Feb 19, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724326,Image Copyright HLP Inc. 2025,"Received on: 2025-02-19<p/> Description: White<p/>  Neutered Male Alaskan Husky Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $150.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Xander and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on February 19, 2025.<p/><p/>I weigh 48lbs and am considered a ""medium breed"" dog.<p/><p/>At times I can be an affectionate dog who would be thrilled to play with you at home!<p/><p/>Other times I am an independent dog who likes to do my own thing!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>I would do best in a home with older children.<p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",
K25-176387,A724236,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2908125,LOST,Lela,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Brown,"Feb 11, 2025",Date Lost,W  LAKE SAMMAMISH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2908125,Image Copyright HLP Inc. 2025,"Description: She is 6 years old 7lbs. Short hair brown tabby with white under chin and socks <p/>Age: Over 1 year<p/>Location Lost: W Lake Sammamish, Issaquah WA  98027<p/>Lost Date: 2025-02-11<p/>",
